date,ticker,vol10,momentum,market_cap,beta
1/17/2014,X1255459D,0.608,0.01461126005361935,13128.0429,0.8776
1/17/2014,X1288453D,23.265,0.002703562340966835,11589.5718,0.8256
1/17/2014,X1431816D,4.034,0.06427707993903392,5994.2964,1.4066
1/17/2014,X1437361D,47.69,0.10341805433829972,1580.3606,0.9955
1/17/2014,X1455797D,45.879,0.3958004248597417,1563.1221,1.2625
1/17/2014,X1477069D,28.766,0.11413893232075048,2749.6901,1.5243
1/17/2014,X9876543D,31.246,0.23112480739599384,1242.4693,1.2361
1/17/2014,X9876544D,29.605,-0.025206506003576545,4634.4158,1.0834
1/17/2014,X9876566D,11.958,0.09277208964217273,22600.492000000002,0.8447
1/17/2014,X9999900D,14.388,0.06638669993330196,5127.1839,0.8777
1/17/2014,AA,47.9,0.1678451612903226,12166.6862,1.2107
1/17/2014,AAN,40.352,0.027620561814286196,2047.8668,0.981
1/17/2014,AAWW,81.164,-0.16046615867324063,952.3443,1.0563
1/17/2014,ABC,10.131,0.21067638121173318,16224.1633,0.6436
1/17/2014,ABG,42.146,0.09463986599664999,1530.5395,1.3998
1/17/2014,ABMD,42.461000000000006,0.13303315595579207,1095.2374,1.0621
1/17/2014,ABT,11.005999999999998,0.024716450572981597,60919.7154,0.9532
1/17/2014,ACAD,42.8,0.30917874396135275,2184.4299,2.1939
1/17/2014,ACGL,10.732000000000001,0.07424381301558211,7296.8187,0.6638
1/17/2014,ACM,30.088,-0.13519952352590825,2981.2340000000004,1.452
1/17/2014,ACOR,17.42,-0.17942055346238797,1258.8749,0.9548
1/17/2014,ACRX,47.19,-0.2741666666666666,538.4212,1.4054
1/17/2014,ACXM,15.431,0.4234092694422624,2570.4738,1.0091
1/17/2014,ADBE,22.526999999999997,0.16708648194794293,30678.0854,0.8991
1/17/2014,ADP,14.1,0.10558469597588488,38499.587999999996,0.9838
1/17/2014,ADTN,41.176,0.008161900801513288,1433.0068,1.1276
1/17/2014,AEE,13.947000000000001,0.026009324218025476,8771.2435,0.8496
1/17/2014,AEGR,89.464,-0.14660552795822193,1828.1472,0.9634
1/17/2014,AEIS,54.835,0.053546265852512945,1044.3891,1.1022
1/17/2014,AEL,28.156999999999996,0.3556091185307148,1701.4628,1.2216
1/17/2014,AEO,38.424,-0.21975530007383184,2808.9471,1.2422
1/17/2014,AF,12.624,0.10911032088303771,1362.3614,1.1564
1/17/2014,AFL,14.706,0.10324171446209505,30160.7034,1.0353
1/17/2014,AFOP,75.686,-0.08137902783718176,302.5279,1.0958
1/17/2014,AGIO,145.491,-0.33894146512443046,1119.9801,0.6647
1/17/2014,AGNC,16.797,-0.07838784792496345,7212.0707,0.8674
1/17/2014,AGO,24.665,0.06749276223347572,3970.5615,1.8398
1/17/2014,AHL,12.308,0.10128704289094029,2607.2376,0.8237
1/17/2014,AJRD,13.603,0.01658090337335636,1085.847,1.3296
1/17/2014,AL,32.465,0.1176641899984346,3237.8054,1.0357
1/17/2014,ALGN,36.053000000000004,0.29730994152046786,5136.3835,1.5749
1/17/2014,ALJ,28.340999999999998,0.035214627745684554,1090.7003,1.3438
1/17/2014,ALK,27.381,0.18154139871382644,5459.3489,1.0874
1/17/2014,ALKS,37.599000000000004,0.21014272699665965,6596.0493,1.0819
1/17/2014,ALL,13.065,0.06476855123306628,24061.482999999997,0.9873
1/17/2014,ALSN,31.180999999999997,0.1941696537410558,5213.2758,1.2078
1/17/2014,ALTR,16.448,-0.07400387448579347,10404.5647,1.0889
1/17/2014,ALV,16.897000000000002,0.14570997189504614,8727.2169,1.3815
1/17/2014,ALXN,38.399,0.11511111111111114,27393.5526,1.278
1/17/2014,AMAG,110.131,0.11620658949243096,468.8532,1.5204
1/17/2014,AMBA,94.54299999999999,0.3464052287581699,899.9833,1.1413
1/17/2014,AMBC,29.713,-0.06394884092725811,1091.7613,1.922
1/17/2014,AMCC,53.4,0.06124161073825507,865.6198,0.8696
1/17/2014,AMED,28.254,0.34083044982698957,507.6815,1.2003
1/17/2014,AMGN,22.141,0.05015574783683563,89854.1392,0.7789
1/17/2014,AMP,14.043,0.24961511720301952,22055.0769,1.3232
1/17/2014,AMTD,18.704,0.09338344289765392,17844.6149,1.2722
1/17/2014,AMTG,8.857999999999999,-0.03709698303767978,503.0118,0.953
1/17/2014,ANAC,71.53,1.3651685393258426,789.6491,1.1485
1/17/2014,ANF,65.618,-0.28015189181299427,2705.3027,1.5038
1/17/2014,ANIK,43.562,0.6655405405405406,516.937,1.4201
1/17/2014,ANN,16.07,0.04812671337191588,1618.7107,1.0070000000000001
1/17/2014,AOBC,43.474,0.10298102981029815,799.0823,1.2616
1/17/2014,AOS,18.463,0.30318834071564177,4757.3424,1.1398
1/17/2014,ARCB,34.732,0.4949549152884414,880.2272,1.3764
1/17/2014,AREX,47.648,-0.2605687932359724,750.3908,1.3751
1/17/2014,AROC,12.752,0.009735541145502102,2318.2656,1.5954
1/17/2014,ARR,10.824000000000002,-0.13609702041479185,1444.4658,0.7535
1/17/2014,ARRS,35.827,0.3996050032916394,3663.7203,1.0457
1/17/2014,ARUN,30.819000000000003,-0.027267668336115665,2308.2742,1.1915
1/17/2014,ARWR,59.396,1.6579804560260587,476.5026,1.5622
1/17/2014,ASB,14.672,0.013110412391191211,2795.5,1.1645
1/17/2014,ATHN,32.19,0.17546045021799103,5178.9699,1.296
1/17/2014,ATR,18.927,0.12574381229083154,4427.9724,0.9928
1/17/2014,ATW,26.734,-0.05798654510349114,3198.7619,1.2522
1/17/2014,AUXL,37.421,0.19491993373826622,1222.1027,1.0398
1/17/2014,AVAV,29.95,0.30406001765225066,679.2109,0.7577
1/17/2014,AVGO,37.28,0.28427633276934977,13973.7742,1.1741
1/17/2014,AVGTF,22.835,-0.2533936651583711,919.6096,0.6492
1/17/2014,AVP,20.99,-0.23195437600022203,7074.7761,1.452
1/17/2014,AVT,24.732,0.10708498417734942,6055.9311,1.2257
1/17/2014,AVY,16.021,0.13908640780313464,4941.9001,1.0388
1/17/2014,AWH,15.321,0.1554779213971389,3605.4062,0.66
1/17/2014,AWI,28.605999999999998,0.0347152121116398,3256.2749,1.4380000000000002
