,Ticker,Weight,Name,Prev Close,Avg Daily Volume,Market Cap,PE ratio,Last Tradetime
0,CEB,0.0859451832517136,CEB Inc. Common Stock,77.40,554342,2.50B,66.62,2017-02-21 21:05:00 UTC+0000
1,DAN,0.0190535174645942,Dana Incorporated Common Stock,19.33,1509980,2.84B,4.53,2017-02-21 21:03:00 UTC+0000
2,ENH,0.15593731760759832,Endurance Specialty Holdings Lt,92.88,378716,6.28B,15.46,2017-02-21 21:02:00 UTC+0000
3,EVER,0.04622284802512619,EverBank Financial Corp. Common,19.44,812833,2.47B,18.37,2017-02-21 21:01:00 UTC+0000
4,HAR,0.09786892283345612,Harman International Industries,111.01,1087930,7.77B,21.99,2017-02-21 21:02:00 UTC+0000
5,INSW,0.22017095917934526,"International Seaways, Inc. Com",18.51,151921,544.36M,7.06,2017-02-21 21:02:00 UTC+0000
6,JOY,0.14760291800055073,Joy Global Inc. Common Stock,28.09,1014730,2.78B,,2017-02-21 21:02:00 UTC+0000
7,NMFC,0.023667603557898174,New Mountain Finance Corporatio,14.85,327732,,,2017-02-21 21:02:00 UTC+0000
8,PNK,0.05891749372253746,"Pinnacle Entertainment, Inc.",16.41,458365,906.10M,,2017-02-21 21:00:00 UTC+0000
9,SCAI,0.02510516255712952,"Surgical Care Affiliates, Inc.",56.69,558051,2.29B,102.70,2017-02-21 21:00:00 UTC+0000
10,WOOF,0.04011129528373198,VCA Inc.,90.79,2008010,7.43B,35.50,2017-02-21 21:00:00 UTC+0000
11,XBKS,0.013589345634965302,"Xenith Bankshares, Inc.",27.84,196687,,,2017-02-21 21:00:00 UTC+0000
12,XXIA,0.06580743288135311,Ixia,19.50,1255430,1.61B,183.18,2017-02-21 21:00:00 UTC+0000
