,Ticker,Weight,Name,Prev Close,Avg Daily Volume,Market Cap,PE ratio,Last Tradetime
0,CEB,0.08489711156322671,CEB Inc. Common Stock,77.40,554342,2.50B,66.62,2017-02-21 21:05:00 UTC+0000
1,DAN,0.01369551222878477,Dana Incorporated Common Stock,19.33,1509980,2.84B,4.53,2017-02-21 21:03:00 UTC+0000
2,ENH,0.15104728230282286,Endurance Specialty Holdings Lt,92.88,378716,6.28B,15.46,2017-02-21 21:02:00 UTC+0000
3,EVER,0.04308567351946418,EverBank Financial Corp. Common,19.44,809390,2.47B,18.37,2017-02-21 21:01:00 UTC+0000
4,FSBK,0.003679804474819667,First South Bancorp Inc,12.31,8085,115.92M,16.73,2017-02-21 20:58:00 UTC+0000
5,HAR,0.09769059169342638,Harman International Industries,111.01,1065860,7.77B,21.99,2017-02-21 21:02:00 UTC+0000
6,INSW,0.2028846965417279,"International Seaways, Inc. Com",18.51,151921,544.36M,7.06,2017-02-21 21:02:00 UTC+0000
7,JOY,0.14603255365353138,Joy Global Inc. Common Stock,28.09,1014730,2.78B,,2017-02-21 21:02:00 UTC+0000
8,NMFC,0.017369957565798656,New Mountain Finance Corporatio,14.85,327732,,,2017-02-21 21:02:00 UTC+0000
9,PETS,0.020362210252362282,"PetMed Express, Inc.",21.19,188659,432.40M,19.95,2017-02-21 21:00:00 UTC+0000
10,PNK,0.04959122737604715,"Pinnacle Entertainment, Inc.",16.41,459344,906.10M,,2017-02-21 21:00:00 UTC+0000
11,SCAI,0.022281132974415186,"Surgical Care Affiliates, Inc.",56.69,558051,2.29B,102.70,2017-02-21 21:00:00 UTC+0000
12,SCM,0.009324802276602288,Stellus Capital Investment Corp,13.98,80269,,,2017-02-21 21:00:00 UTC+0000
13,SIFI,0.0406624335919018,"SI Financial Group, Inc.",15.00,22866,177.29M,15.79,2017-02-21 21:00:00 UTC+0000
14,WOOF,0.038221197637358886,VCA Inc.,90.79,2008010,7.43B,35.50,2017-02-21 21:00:00 UTC+0000
15,XXIA,0.05917381234770981,Ixia,19.50,1229280,1.61B,183.18,2017-02-21 21:00:00 UTC+0000
