,Ticker,Weight,Name,Prev Close,Avg Daily Volume,Market Cap,PE ratio,Last Tradetime
0,ACOR,-0.05524411375493266,"Acorda Therapeutics, Inc.",25.30,737480,1.15B,,2017-02-21 21:00:00 UTC+0000
1,ATVI,-0.08026974791485564,"Activision Blizzard, Inc",45.33,8828030,33.73B,35.42,2017-02-21 21:00:00 UTC+0000
2,BANC,-0.04170866100817624,"Banc of California, Inc. Common",19.85,1633150,987.96M,10.21,2017-02-21 21:05:00 UTC+0000
3,CE,0.023516403363453186,Celanese Corporation Celanese C,89.64,849469,12.69B,14.58,2017-02-21 21:02:00 UTC+0000
4,CEB,0.09624124458638393,CEB Inc. Common Stock,77.40,554342,2.50B,66.62,2017-02-21 21:05:00 UTC+0000
5,CIR,-0.015782199714159142,"CIRCOR International, Inc. Comm",61.51,103980,1.02B,102.16,2017-02-21 21:02:00 UTC+0000
6,CRAY,-0.0022088493722829928,Cray Inc,21.30,499013,855.72M,82.31,2017-02-21 21:00:00 UTC+0000
7,CTWS,0.026704890246480505,"Connecticut Water Service, Inc.",53.96,28093,607.41M,24.43,2017-02-21 21:00:00 UTC+0000
8,CYNO,-0.1309179948750109,"Cynosure, Inc.",66.25,978146,1.56B,101.69,2017-02-21 21:00:00 UTC+0000
9,DAN,0.027458838837442014,Dana Incorporated Common Stock,19.33,1521790,2.84B,4.53,2017-02-21 21:03:00 UTC+0000
10,DVMT,0.008640667243058736,Dell Technologies Inc. Class V,64.59,1443810,51.08B,,2017-02-21 21:02:00 UTC+0000
11,EDIT,-0.06637248144522119,"Editas Medicine, Inc.",26.02,492931,971.74M,,2017-02-21 21:00:00 UTC+0000
12,ENH,0.20508116066721271,Endurance Specialty Holdings Lt,92.88,378716,6.28B,15.46,2017-02-21 21:02:00 UTC+0000
13,EVER,0.10668242365152324,EverBank Financial Corp. Common,19.44,809390,2.47B,18.37,2017-02-21 21:01:00 UTC+0000
14,FOSL,-0.016695829398899995,"Fossil Group, Inc.",20.73,1616080,958.22M,12.20,2017-02-21 21:00:00 UTC+0000
15,HAR,0.10819747423408642,Harman International Industries,111.01,1065860,7.77B,21.99,2017-02-21 21:02:00 UTC+0000
16,JOY,0.13804112949389385,Joy Global Inc. Common Stock,28.09,1014730,2.78B,,2017-02-21 21:02:00 UTC+0000
17,LBRDK,0.0010073503825855767,Liberty Broadband Corporation,86.44,553693,15.72B,13.66,2017-02-21 21:00:00 UTC+0000
18,MDSO,-0.00161904235207291,"Medidata Solutions, Inc.",56.10,457030,3.13B,109.94,2017-02-21 21:00:00 UTC+0000
19,MPSX,0.06514110562923628,Multi Packaging Solutions Inter,17.94,651621,1.39B,151.61,2017-02-21 21:02:00 UTC+0000
20,NCLH,0.01055009428911541,Norwegian Cruise Line Holdings,47.69,1268610,10.95B,18.36,2017-02-21 21:00:00 UTC+0000
21,NMFC,0.08818720864848083,New Mountain Finance Corporatio,14.85,327732,,,2017-02-21 21:02:00 UTC+0000
22,NWBI,0.0342138826706432,"Northwest Bancshares, Inc.",17.96,616105,1.84B,36.94,2017-02-21 21:00:00 UTC+0000
23,ORI,0.033536036822322465,Old Republic International Corp,20.63,1858700,5.40B,12.83,2017-02-21 21:01:00 UTC+0000
24,PNK,0.05614480787438937,"Pinnacle Entertainment, Inc.",16.41,459344,906.10M,,2017-02-21 21:00:00 UTC+0000
25,PPG,0.0025062873005873994,"PPG Industries, Inc. Common Sto",102.37,1577320,26.48B,31.39,2017-02-21 21:02:00 UTC+0000
26,QUOT,-0.03721947918031643,Quotient Technology Inc. Common,12.85,495646,1.09B,,2017-02-21 21:02:00 UTC+0000
27,RGA,0.041648185206908515,"Reinsurance Group of America, I",129.09,419836,8.30B,11.97,2017-02-21 21:02:00 UTC+0000
28,SCAI,0.09406021334596612,"Surgical Care Affiliates, Inc.",56.69,558051,2.29B,102.70,2017-02-21 21:00:00 UTC+0000
29,SD,-0.024309115747235568,"SandRidge Energy, Inc. Common S",19.80,124640,416.44M,,2017-02-21 21:02:00 UTC+0000
30,TER,0.001865573168320929,"Teradyne, Inc. Common Stock",29.17,2305590,5.92B,,2017-02-21 21:02:00 UTC+0000
31,TWTR,-0.02767957314049347,"Twitter, Inc. Common Stock",16.62,19462500,11.72B,,2017-02-21 21:02:00 UTC+0000
32,VGR,0.015950372622604108,Vector Group Ltd. Common Stock,22.60,797936,2.90B,39.09,2017-02-21 21:01:00 UTC+0000
33,VMW,0.042772596388316486,"Vmware, Inc. Common stock, Clas",91.22,1482850,37.71B,33.22,2017-02-21 21:02:00 UTC+0000
34,WOOF,0.09537047234231648,VCA Inc.,90.79,2008010,7.43B,35.50,2017-02-21 21:00:00 UTC+0000
35,XBKS,0.05252576379423934,"Xenith Bankshares, Inc.",27.84,196687,,,2017-02-21 21:00:00 UTC+0000
36,XL,0.03210438286095619,XL Group Ltd.,40.95,1779790,11.00B,26.25,2017-02-21 21:03:00 UTC+0000
37,XXIA,0.09187852223313378,Ixia,19.50,1255430,1.61B,183.18,2017-02-21 21:00:00 UTC+0000
