,Ticker,Weight,Name,Prev Close,Avg Daily Volume,Market Cap,PE ratio,Last Tradetime
0,ENH,0.18607306640000001,Endurance Specialty Holdings Lt,92.88,384311,6.28B,15.46,2017-02-21 21:02:00 UTC+0000
1,JOY,0.11527602449999999,Joy Global Inc. Common Stock,28.09,1023920,2.78B,,2017-02-21 21:02:00 UTC+0000
2,VASC,0.1041010807,"Vascular Solutions, Inc.",56.00,272766,981.85M,81.40,2017-02-17 21:00:00 UTC+0000
3,SIFI,0.09661087480000001,"SI Financial Group, Inc.",15.00,22866,177.29M,15.79,2017-02-21 21:00:00 UTC+0000
4,HAR,0.0906716224,Harman International Industries,111.01,1087930,7.77B,21.99,2017-02-21 21:02:00 UTC+0000
5,EVER,0.0835600795,EverBank Financial Corp. Common,19.44,809390,2.47B,18.37,2017-02-21 21:01:00 UTC+0000
6,ARIA,0.0817617168,"ARIAD Pharmaceuticals, Inc.",23.99,9913520,,,2017-02-15 21:00:00 UTC+0000
7,CEB,0.0756089299,CEB Inc. Common Stock,77.40,554342,2.50B,66.62,2017-02-21 21:05:00 UTC+0000
8,WOOF,0.0750373309,VCA Inc.,90.79,2008010,7.43B,35.50,2017-02-21 21:00:00 UTC+0000
9,SCAI,0.0725322842,"Surgical Care Affiliates, Inc.",56.69,548421,2.29B,102.70,2017-02-21 21:00:00 UTC+0000
10,XXIA,0.0667091885,Ixia,19.50,1229280,1.61B,183.18,2017-02-21 21:00:00 UTC+0000
11,NMFC,0.061053354500000004,New Mountain Finance Corporatio,14.85,327732,,,2017-02-21 21:02:00 UTC+0000
12,PETS,0.0575545501,"PetMed Express, Inc.",21.19,188659,432.40M,19.95,2017-02-21 21:00:00 UTC+0000
13,OFS,0.054265621900000005,OFS Capital Corporation,14.50,34234,,,2017-02-21 20:59:00 UTC+0000
14,FSBK,0.0518547124,First South Bancorp Inc,12.31,8085,115.92M,16.73,2017-02-21 20:58:00 UTC+0000
15,SCM,0.0463472999,Stellus Capital Investment Corp,13.98,80269,,,2017-02-21 21:00:00 UTC+0000
16,MPSX,0.0393827629,Multi Packaging Solutions Inter,17.94,651621,1.39B,151.61,2017-02-21 21:02:00 UTC+0000
17,VMW,0.0265126752,"Vmware, Inc. Common stock, Clas",91.22,1482850,37.71B,33.22,2017-02-21 21:02:00 UTC+0000
18,PNK,0.0246799246,"Pinnacle Entertainment, Inc.",16.41,458365,906.10M,,2017-02-21 21:00:00 UTC+0000
19,RGA,0.021394856,"Reinsurance Group of America, I",129.09,419836,8.30B,11.97,2017-02-21 21:02:00 UTC+0000
20,ORI,0.013737697,Old Republic International Corp,20.63,1852600,5.40B,12.83,2017-02-21 21:01:00 UTC+0000
21,XBKS,0.011793141799999999,"Xenith Bankshares, Inc.",27.84,196687,,,2017-02-21 21:00:00 UTC+0000
22,XL,0.011595623700000002,XL Group Ltd.,40.95,1779790,11.00B,26.25,2017-02-21 21:03:00 UTC+0000
23,HRZN,0.0103149855,Horizon Technology Finance Corp,11.55,73638,,,2017-02-21 21:00:00 UTC+0000
