,Ticker,Weight,Name,Prev Close,Avg Daily Volume,Market Cap,PE ratio,Last Tradetime
0,ACOR,-0.05664193590170341,"Acorda Therapeutics, Inc.",25.30,737480,1.15B,,2017-02-21 21:00:00 UTC+0000
1,AQMS,-0.03157635105422471,"Aqua Metals, Inc.",17.70,264930,277.44M,,2017-02-21 21:00:00 UTC+0000
2,ATVI,-0.0709567664497925,"Activision Blizzard, Inc",45.33,8828030,33.73B,35.42,2017-02-21 21:00:00 UTC+0000
3,BANC,-0.04204718903360693,"Banc of California, Inc. Common",19.85,1638860,987.96M,10.21,2017-02-21 21:05:00 UTC+0000
4,CE,0.01027413995121658,Celanese Corporation Celanese C,89.64,849469,12.69B,14.58,2017-02-21 21:02:00 UTC+0000
5,CEB,0.08301813402203957,CEB Inc. Common Stock,77.40,559252,2.50B,66.62,2017-02-21 21:05:00 UTC+0000
6,CHCT,0.011148709160939506,Community Healthcare Trust Inco,22.79,76923,288.73M,125.05,2017-02-21 21:02:00 UTC+0000
7,CIR,-0.01878441762541086,"CIRCOR International, Inc. Comm",61.51,103980,1.02B,102.16,2017-02-21 21:02:00 UTC+0000
8,CRAY,-0.008903585579729029,Cray Inc,21.30,499013,855.72M,82.31,2017-02-21 21:00:00 UTC+0000
9,CRY,-0.002321862690143612,"CryoLife, Inc. Common Stock",17.25,160768,525.22M,50.94,2017-02-21 21:01:00 UTC+0000
10,CYNO,-0.10154688181942953,"Cynosure, Inc.",66.25,978146,1.56B,101.69,2017-02-21 21:00:00 UTC+0000
11,DAN,0.01008470882411431,Dana Incorporated Common Stock,19.33,1521790,2.84B,4.53,2017-02-21 21:03:00 UTC+0000
12,EDIT,-0.060108164870778434,"Editas Medicine, Inc.",26.02,502900,971.74M,,2017-02-21 21:00:00 UTC+0000
13,ENH,0.19438675809938472,Endurance Specialty Holdings Lt,92.88,378716,6.28B,15.46,2017-02-21 21:02:00 UTC+0000
14,EVER,0.09036957059762953,EverBank Financial Corp. Common,19.44,812833,2.47B,18.37,2017-02-21 21:01:00 UTC+0000
15,FOSL,-0.02090533341512564,"Fossil Group, Inc.",20.73,1616080,958.22M,12.20,2017-02-21 21:00:00 UTC+0000
16,FSBK,0.0582357054052129,First South Bancorp Inc,12.31,8085,115.92M,16.73,2017-02-21 20:58:00 UTC+0000
17,FTK,-0.0018543181990494488,"Flotek Industries, Inc. Common",12.46,1260130,726.85M,,2017-02-21 21:02:00 UTC+0000
18,HAR,0.09840333682322204,Harman International Industries,111.01,1065860,7.77B,21.99,2017-02-21 21:02:00 UTC+0000
19,HRZN,0.015658365187861317,Horizon Technology Finance Corp,11.55,73066,,,2017-02-21 21:00:00 UTC+0000
20,JOY,0.12227876115823405,Joy Global Inc. Common Stock,28.09,1014730,2.78B,,2017-02-21 21:02:00 UTC+0000
21,MDSO,-0.00010008415667059909,"Medidata Solutions, Inc.",56.10,452962,3.13B,109.94,2017-02-21 21:00:00 UTC+0000
22,MPSX,0.04588660499451381,Multi Packaging Solutions Inter,17.94,651621,1.39B,151.61,2017-02-21 21:02:00 UTC+0000
23,NMFC,0.06783542760389012,New Mountain Finance Corporatio,14.85,327732,,,2017-02-21 21:02:00 UTC+0000
24,NWBI,0.014822458527967259,"Northwest Bancshares, Inc.",17.96,616105,1.84B,36.94,2017-02-21 21:00:00 UTC+0000
25,OFS,0.06034752479730233,OFS Capital Corporation,14.50,34444,,,2017-02-21 20:59:00 UTC+0000
26,ORI,0.020458480040782216,Old Republic International Corp,20.63,1852600,5.40B,12.83,2017-02-21 21:01:00 UTC+0000
27,PBNC,0.00927862800678193,Paragon Commercial Corporation,48.83,5640,268.19M,18.36,2017-02-21 21:00:00 UTC+0000
28,PETS,0.06423521638558302,"PetMed Express, Inc.",21.19,187724,432.40M,19.95,2017-02-21 21:00:00 UTC+0000
29,PNK,0.031647209268567164,"Pinnacle Entertainment, Inc.",16.41,463644,906.10M,,2017-02-21 21:00:00 UTC+0000
30,QUOT,-0.03764821120719139,Quotient Technology Inc. Common,12.85,473589,1.09B,,2017-02-21 21:02:00 UTC+0000
31,RGA,0.02863629626135371,"Reinsurance Group of America, I",129.09,423689,8.30B,11.97,2017-02-21 21:02:00 UTC+0000
32,SCAI,0.07973568806668635,"Surgical Care Affiliates, Inc.",56.69,558051,2.29B,102.70,2017-02-21 21:00:00 UTC+0000
33,SCM,0.052709866324148716,Stellus Capital Investment Corp,13.98,80269,,,2017-02-21 21:00:00 UTC+0000
34,SD,-0.024607652602717533,"SandRidge Energy, Inc. Common S",19.80,129080,416.44M,,2017-02-21 21:02:00 UTC+0000
35,SIFI,0.1031416334128922,"SI Financial Group, Inc.",15.00,22297,177.29M,15.79,2017-02-21 21:00:00 UTC+0000
36,TWTR,-0.022054312562934955,"Twitter, Inc. Common Stock",16.62,19521300,11.72B,,2017-02-21 21:02:00 UTC+0000
37,VMW,0.033759216025750084,"Vmware, Inc. Common stock, Clas",91.22,1480700,37.71B,33.22,2017-02-21 21:02:00 UTC+0000
38,WOOF,0.08196450873387595,VCA Inc.,90.79,1982410,7.43B,35.50,2017-02-21 21:00:00 UTC+0000
39,XBKS,0.018770854162529372,"Xenith Bankshares, Inc.",27.84,149677,,,2017-02-21 21:00:00 UTC+0000
40,XL,0.01867827443824254,XL Group Ltd.,40.95,1776720,11.00B,26.25,2017-02-21 21:03:00 UTC+0000
41,XXIA,0.07429099088778722,Ixia,19.50,1229280,1.61B,183.18,2017-02-21 21:00:00 UTC+0000
