date,pnl,cumpnl
2014-01-03,0.0162352774,0.0162352774
2014-01-10,0.0023741305,0.0186094079
2014-01-17,-0.0268449679,-0.0082355601
2014-01-24,-0.0016529697,-0.0098885297
2014-01-31,-0.0432741525,-0.0531626822
2014-02-07,-0.0008115697,-0.0539742519
2014-02-14,0.0357661427,-0.0182081091
2014-02-21,0.0158615656,-0.0023465435
2014-02-28,-0.0369676495,-0.039314193
2014-03-07,-0.0023797354,-0.0416939284
2014-03-14,-0.0102863873,-0.0519803156
2014-03-21,-0.0379660777,-0.0899463933
2014-03-28,0.0053327518,-0.0846136415
2014-04-04,-0.0078958446,-0.0925094861
2014-04-11,0.0110307798,-0.0814787063
2014-04-18,0.0051282731,-0.0763504333
2014-04-25,-0.0008884005,-0.0772388338
2014-05-02,-0.0343423357,-0.1115811695
2014-05-09,0.055391774,-0.0561893954
2014-05-16,0.0202411262,-0.0359482692
2014-05-23,0.0171740605,-0.0187742087
2014-05-30,0.0290857705,0.0103115618
2014-06-06,0.0171164549,0.0274280166
2014-06-13,0.0537297896,0.0811578062
2014-06-20,-0.021403929,0.0597538773
2014-06-27,0.0191189656,0.0788728429
2014-07-04,-0.0466042472,0.0322685957
2014-07-11,-0.0210911153,0.0111774804
2014-07-18,0.0002425073,0.0114199877
2014-07-25,0.0087534492,0.0201734369
2014-08-01,0.022873562,0.0430469989
2014-08-08,0.0075141795,0.0505611785
2014-08-15,0.0191407602,0.0697019387
2014-08-22,0.0193808176,0.0890827563
2014-08-29,-0.0130631416,0.0760196147
2014-09-05,-0.0007843457,0.075235269
2014-09-12,0.0161779042,0.0914131732
2014-09-19,-0.0142621859,0.0771509873
2014-09-26,-0.0040801279,0.0730708594
2014-10-03,-0.0230287359,0.0500421235
2014-10-10,0.0023387154,0.0523808389
2014-10-17,0.0337195823,0.0861004211
2014-10-24,0.0317019233,0.1178023444
2014-10-31,0.0162303961,0.1340327405
2014-11-07,0.0440369103,0.1780696508
2014-11-14,0.0137561135,0.1918257643
2014-11-21,0.0721310769,0.2639568412
2014-11-28,-0.0106520201,0.2533048211
2014-12-05,-0.0099718844,0.2433329367
2014-12-12,0.0515209274,0.2948538642
2014-12-19,-0.0239405039,0.2709133602
2014-12-26,-0.0135841781,0.2573291822
2015-01-02,0.0925991659,0.3499283481
2015-01-09,0.0091688508,0.359097199
2015-01-16,-0.0228241679,0.336273031
2015-01-23,-0.0080125715,0.3282604595
2015-01-30,-0.0232735825,0.3049868771
2015-02-06,0.0362273386,0.3412142157
2015-02-13,0.0367977819,0.3780119975
2015-02-20,0.0329094648,0.4109214623
2015-02-27,0.036715643,0.4476371053
2015-03-06,0.0463078154,0.4939449207
2015-03-13,0.0401476317,0.5340925525
2015-03-20,-0.0642722746,0.4698202779
