Ticker,Weight
A,0
AAN,0
AAON,0
AAP,0
ABBV,0
ABM,0
ABMD,0
AC,0
ACAD,0
ACBI,0
ACGL,0
ACHC,0
ACLS,0
ACM,0
ACOR,0
ACXM,0
ADI,0
ADNT,0
ADRO,0
ADS,0
AEIS,0
AEL,0
AEO,0
AERI,0
AES,0
AFI,0
AGCO,0
AGII,0
AGM,0
AGN,0
AGNC,0
AHH,0
AHP,0
AI,0
AIMC,0
AINC,0
AIR,0
AIT,0
AIV,0
AIZ,0
AJX,0
AKAM,0
AKAO,0
AKBA,0
AKR,0
AKRX,0
AL,0
ALCO,0
ALG,0
ALGT,0
ALK,0
ALKS,0
ALL,0
ALOG,0
AMAG,0
AMAT,0
AMBA,0
AMBC,0
AMCX,0
AMD,0
AMED,0
AMG,0
AMGN,0
AMOT,0
AMRI,0
AMSWA,0
AMT,0
AMTD,0
AMZN,0
ANET,0
ANF,0
ANGO,0
ANSS,0
AP,0
APAM,0
APC,0
APFH,0
APPF,0
AQMS,0
ARA,0
ARCB,0
ARDX,0
ARE,0
ARI,0
ARIA,0.1056588159
ARMK,0
ARNC,0
ARR,0
ARRS,0
ARW,0
ASB,0
ASGN,0
ASMB,0
ASTE,0
ATI,0
ATNI,0
ATROB,0
ATU,0
ATVI,0
AVAV,0
AVD,0
AVHI,0
AVX,0
AVXS,0
AWI,0
AXGN,0
AXON,0
AXTA,0
AYI,0
AZO,0
B,0
BA,0
BABY,0
BANC,0
BATRK,0
BBBY,0
BBSI,0
BBT,0
BBY,0
BC,0
BCC,0
BCO,0
BCOR,0
BCPC,0
BCRH,0
BDN,0
BEAT,0
BERK,0
BF/A,0
BF/B,0
BG,0
BGC,0
BGCP,0
BHBK,0
BHE,0
BID,0
BIG,0
BKD,0
BKFS,0
BKS,0
BLD,0
BLDR,0
BLK,0
BLKB,0
BLL,0
BMRC,0
BMRN,0
BOFI,0
BOOT,0
BOX,0
BPMC,0
BRC,0
BRID,0
BRKL,0
BRKR,0
BRO,0
BRSS,0
BSTC,0
BUFF,0
BUSE,0
BW,0
BWINB,0
BWLD,0
BXP,0
BXS,0
BZH,0
C,0
CA,0
CAG,0
CAI,0
CAL,0
CAMP,0
CAR,0
CARA,0
CASY,0
