Ticker,Weight
CLC,0.2268850358
MENT,0.2171366243
VASC,0.2159767449
JOY,0.2110735261
CORR,0.113230568
ENH,0.1082238153
LOCK,0.1017425325
ARIA,0.0839538996
CWEI,0.0835180131
ISIL,0.0496324253
SWC,0.0420438958
NILE,0.0322802345
IQNT,0.0101302017
WOOF,0.0041172702
ZYNE,0
ZUMZ,0
ZTS,0
ZOES,0
ZLTQ,0
ZION,0
ZG,0
ZEUS,0
ZEN,0
ZBRA,0
ZBH,0
ZAYO,0
Z,0
YUMC,0
YUM,0
YRCW,0
YHOO,0
YELP,0
YDKN,0
XYL,0
XXIA,0
XTLY,0
XRAY,0
XPO,0
XON,0
XOM,0
XOG,0
XNCR,0
XLRN,0
XLNX,0
XL,0
XHR,0
XENT,0
XEL,0
XEC,0
X,0
WYNN,0
WYN,0
WY,0
WWW,0
WWE,0
WWD,0
WWAV,0
WU,0
WTW,0
WTS,0
WTR,0
WTFC,0
WSTC,0
WST,0
WSR,0
WSO,0
WSM,0
WSFS,0
WRLD,0
WRK,0
WRI,0
WRE,0
WRB,0
WR,0
WPX,0
WPC,0
WOR,0
WNR,0
WNC,0
WMT,0
WMS,0
WMGI,0
WMC,0
WMB,0
WM,0
WLL,0
WLK,0
WLH,0
WLB,0
WK,0
WIX,0
WING,0
WIFI,0
WHR,0
WGO,0
WGL,0
WFM,0
WFC,0
WEX,0
WERN,0
WEN,0
WEC,0
WEB,0
WDR,0
WDC,0
WDAY,0
WD,0
WCIC,0
WCG,0
WCC,0
WBS,0
WBMD,0
WBC,0
WBA,0
WATT,0
WAT,0
WAL,0
WAIR,0
WAGE,0
WAFD,0
WABC,0
WAB,0
W,0
VZ,0
VWR,0
VVV,0
VVC,0
VTR,0
VSTO,0
VSM,0
VSI,0
VSH,0
VSAT,0
VSAR,0
VRTX,0
VRTU,0
VRTS,0
VRSN,0
VRSK,0
VRNT,0
VRNS,0
VRA,0
VR,0
VOYA,0
VNTV,0
VNO,0
VNDA,0
VMW,0
VMI,0
VMC,0
VLY,0
VLO,0
VIRT,0
VIAB,0
VGR,0
VFC,0
VEEV,0
VECO,0
VDSI,0
VCRA,0
VC,0
VBTX,0
VAR,0
VAL,0
VAC,0
V,0
UTX,0
UTHR,0
UTEK,0
USL,0
USG,0
USFD,0
USCR,0
USB,0
UMPQ,0
UMH,0
UMBF,0
ULTI,0
ULTA,0
UIS,0
UIHC,0
UHS,0
UGI,0
UFS,0
UFI,0
UEPS,0
UEIC,0
UE,0
UDR,0
UCTT,0
UCBI,0
UBSI,0
UBNT,0
UBNK,0
TYPE,0
TYL,0
TXT,0
TXRH,0
TXN,0
TWX,0
TWTR,0
TWOU,0
TWLO,0
TWI,0
TVPT,0
TUP,0
TTWO,0
TTS,0
TTMI,0
TTEK,0
TTD,0
TTC,0
TSS,0
TSRO,0
TSRA,0
TSO,0
TSN,0
TSLA,0
TSE,0
TSCO,0
TRV,0
TRUE,0
TRU,0
TRTN,0
TRS,0
TROX,0
TROW,0
TRNO,0
TRNC,0
TRN,0
TRMK,0
TRMB,0
TRIP,0
TRI,0
TRHC,0
TRGP,0
TREX,0
TREE,0
TRCO,0
TPRE,0
TPH,0
TPC,0
TOWN,0
TOL,0
TNET,0
TMUS,0
TMST,0
TMO,0
TMK,0
TMHC,0
TLYS,0
TLRD,0
TKR,0
TK,0
TJX,0
TIVO,0
TISI,0
TIME,0
TILE,0
TIF,0
TIER,0
THS,0
THRM,0
THO,0
THG,0
THC,0
TGT,0
TGNA,0
TGI,0
TGH,0
TFX,0
TFSL,0
TEX,0
TERP,0
TER,0
TEN,0
TECH,0
TECD,0
TEAM,0
TDY,0
TDS,0
TDOC,0
TDG,0
TDC,0
TCPC,0
TCO,0
TCBI,0
TCB,0
TCAP,0
