,Ticker,Weight,Name,Prev Close,Avg Daily Volume,Market Cap,PE ratio
0,AAWW,0.1520543250417782,Atlas Air Worldwide Holdings,51.85,171962,1.34B,32.22
1,AEO,-0.02080021780215565,"American Eagle Outfitters, Inc.",13.99,4518710,2.55B,12.06
2,AMAG,0.03872805347315359,"AMAG Pharmaceuticals, Inc.",22.15,1356280,764.04M,
3,ASB,0.00787586923821922,Associated Banc-Corp Common Sto,23.40,894167,3.61B,18.85
4,BAH,-0.4014352934435381,Booz Allen Hamilton Holding Cor,35.75,1276250,5.37B,21.57
5,CEC,0.12262289863734578,,,40670,,
6,CL,0.01777985396496256,Colgate-Palmolive Company Commo,73.43,4430720,65.13B,27.12
7,CPA,0.25766277594323594,"Copa Holdings, S.A. Copa Holdin",108.74,350884,4.64B,13.65
8,ECPG,0.21631075761311352,Encore Capital Group Inc,30.85,341785,801.22M,10.58
9,FCN,0.061186696072522244,"FTI Consulting, Inc. Common Sto",40.09,255487,1.65B,19.60
10,LKFN,-0.07090321343635031,Lakeland Financial Corporation,41.71,70026,1.06B,20.80
11,NAVG,-0.0059123176870621635,"The Navigators Group, Inc.",54.05,58323,1.59B,19.84
12,NILE,0.05916360355138478,"Blue Nile, Inc.",40.71,163131,,
13,NLSN,0.04499559370808937,Nielsen N.V. Ordinary Shares,41.03,2708030,14.78B,29.74
14,QTS,0.010915943779306917,"QTS Realty Trust, Inc. Class A",47.42,434041,2.27B,103.63
15,SONC,-0.0009417523696971641,Sonic Corp.,23.35,986907,1.05B,17.89
16,TFM,0.11045624982655249,"The Fresh Market, Inc.",,1905490,,
17,TK,0.1756517989471413,Teekay Corporation Common Stock,8.82,1282320,783.79M,
18,TMHC,0.006440364278775035,Taylor Morrison Home Corporatio,21.28,935305,906.48M,12.75
19,TRV,0.04243347657417878,"The Travelers Companies, Inc. C",121.01,1447520,34.07B,11.85
20,WETF,0.08347832663207423,"WisdomTree Investments, Inc.",8.56,2670260,1.18B,46.21
21,WWE,0.09223620745696957,"World Wrestling Entertainment,",22.17,562726,1.72B,51.14
