Date,Momentum,Market,Volatility,Market cap
2014-01-03 ,0.006938,0.00857,0.003439,-0.005907
2014-01-10 ,-0.002554,0.004174,0.004873,-0.007095
2014-01-17 ,-0.004749,-0.018437,-0.001299,-0.005699
2014-01-24 ,0.005961,-0.005937,-0.001796,0.005352
2014-01-31 ,-0.002336,-0.006954,-0.001375,0.010045
2014-02-07 ,0.000914,0.0225,-0.000895,-0.000765
2014-02-14 ,0.006287,0.010203,0.003512,-0.003212
2014-02-21 ,-0.00069,0.014865,0.001227,-0.003185
2014-02-28 ,-0.002247,0.011386,0.003998,-0.013103
2014-03-07 ,-0.002965,-0.015111,-0.003023,-0.004149
2014-03-14 ,0.000391,0.008097,-0.003699,-0.001388
2014-03-21 ,-0.004897,-0.022992,-0.010695,0.010527
2014-03-28 ,-0.00348,0.002297,-0.006786,-0.000567
2014-04-04 ,-0.002707,-0.025351,-0.010849,-0.002602
2014-04-11 ,0.004066,0.016065,-0.002142,0.00744
2014-04-18 ,-0.012545,-0.005006,0.002523,-0.001801
2014-04-25 ,-0.00129,0.003677,0.000941,0.007052
2014-05-02 ,-0.003079,-0.017702,-0.012837,0.006463
2014-05-09 ,-0.002879,-0.000413,0.003461,0.003552
2014-05-16 ,0.005573,0.015729,0.003265,-0.000052
2014-05-23 ,0.006295,0.006611,-0.000526,-0.000278
2014-05-30 ,0.002773,0.000076,-0.000274,0.000017
2014-06-06 ,-0.000471,-0.00033,0.011131,-0.001052
2014-06-13 ,0.003745,0.01693,0.003951,-0.000987
2014-06-20 ,-0.002462,-0.000804,-0.003894,0.000218
2014-06-27 ,-0.001357,0.013811,0.000716,-0.006584
2014-07-04 ,0.001281,-0.026127,-0.010143,0.006726
2014-07-11 ,0.001371,-0.003896,-0.007915,-0.000071
2014-07-18 ,0.000113,-0.00289,0.003736,0.004515
2014-07-25 ,-0.005567,-0.021855,-0.001475,0.001756
2014-08-01 ,0.002568,0.009845,-0.000428,-0.003285
2014-08-08 ,0.007061,0.007596,-0.001586,0.002545
2014-08-15 ,-0.0008,0.012395,-0.000693,0.001273
2014-08-22 ,0.003503,0.008335,0.005791,-0.001372
2014-08-29 ,0.003046,-0.0022,-0.005284,0.001135
2014-09-05 ,-0.005078,-0.004031,0.00633,-0.002928
2014-09-12 ,0.003331,-0.008122,-0.00666,0.005888
2014-09-19 ,0.00704,-0.018649,-0.000785,0.00163
2014-09-26 ,-0.002366,-0.011194,-0.002912,-0.002108
2014-10-03 ,0.000935,-0.042509,-0.021876,-0.000262
2014-10-10 ,-0.004652,0.018087,0.001742,-0.011007
2014-10-17 ,0.007764,0.027179,0.000126,0.004949
2014-10-24 ,0.004536,0.029581,-0.004126,-0.0018
2014-10-31 ,-0.003924,0.000882,-0.00222,0.003105
2014-11-07 ,0.0011,0.001991,0.000206,0.000537
2014-11-14 ,0.001655,0.001111,0.0047,0.007138
2014-11-21 ,0.013378,-0.002494,-0.014148,-0.007946
2014-11-28 ,0.006548,-0.001035,-0.012888,-0.005204
2014-12-05 ,0.009398,-0.004667,-0.011844,-0.007918
2014-12-12 ,-0.00837,0.04353,0.019881,0.003107
2014-12-19 ,0.001764,0.013053,-0.007987,-0.006517
2014-12-26 ,-0.003311,-0.006099,0.002948,-0.00534
2015-01-02 ,0.007898,-0.008921,-0.002176,-0.007469
2015-01-09 ,0.006713,-0.01347,-0.007005,-0.002342
2015-01-16 ,0.005681,0.00582,-0.004448,0.00513
2015-01-23 ,-0.005106,-0.013946,0.003269,-0.001578
2015-01-30 ,-0.016597,0.037719,0.007128,0.004256
2015-02-06 ,-0.005676,0.019123,0.003676,-0.001559
2015-02-13 ,0.003573,0.007431,0.001867,-0.002434
2015-02-20 ,0.003327,-0.000551,-0.002658,-0.006929
2015-02-27 ,0.003179,-0.009757,0.000277,-0.003663
2015-03-06 ,0.018357,-0.002986,-0.005807,-0.00208
2015-03-13 ,0.010508,0.020855,0.002482,0.002799
2015-03-20 ,-0.00307,-0.014328,-0.00174,-0.001693
2015-03-27 ,-0.002402,0.012143,0.000331,-0.00454
2015-04-03 ,-0.005441,0.012716,0.010282,0.002114
2015-04-10 ,-0.008052,-0.000545,0.00581,-0.002067
2015-04-17 ,0.004667,0.009955,-0.003333,-0.003904
2015-04-24 ,-0.018126,-0.019842,-0.004561,0.017926
2015-05-01 ,0.003918,-0.001153,0.001752,-0.000783
2015-05-08 ,0.002945,0.002512,-0.003128,-0.004974
2015-05-15 ,0.008781,0.001412,-0.000048,0.002096
2015-05-22 ,0.010863,-0.000746,0.000588,-0.003874
2015-05-29 ,0.004358,0.009819,0.004598,-0.007905
2015-06-05 ,0.001433,-0.000073,-0.006057,-0.001679
2015-06-12 ,0.009463,0.005524,-0.003362,0.000232
2015-06-19 ,0.00185,-0.005515,-0.007557,-0.00036
2015-06-26 ,0.0102,-0.021905,-0.004812,0.002979
2015-07-03 ,0.014522,-0.001898,-0.003663,-0.002691
2015-07-10 ,0.018093,0.003104,0.003586,0.00033
2015-07-17 ,0.006706,-0.032148,-0.004361,0.006193
2015-07-24 ,-0.00436,0.000002,-0.004409,0.001066
2015-07-31 ,-0.003812,-0.000002,-0.010537,-0.00384
2015-08-07 ,-0.008888,0.000002,0.000238,0.000949
2015-08-14 ,0.000556,-0.000081,-0.010536,-0.010486
2015-08-21 ,-0.007794,-0.000044,0.018714,-0.002011
2015-08-28 ,-0.00312,-0.000052,-0.000167,-0.013508
2015-09-04 ,0.015856,0.000055,-0.002112,0.000206
2015-09-11 ,0.007645,0.000028,0.005438,-0.005641
2015-09-18 ,-0.006409,-0.000085,-0.026069,0.0077
2015-09-25 ,-0.007599,0.000003,-0.003429,0.008192
2015-10-02 ,-0.038715,0.000089,0.00606,-0.010585
2015-10-09 ,0.010713,-0.000031,-0.004531,-0.002296
2015-10-16 ,0.00011,0.000008,-0.011624,0.002196
2015-10-23 ,0.010649,-0.000028,-0.000154,0.007571
2015-10-30 ,0.00317,0.000122,0.016014,-0.007814
2015-11-06 ,0.011126,-0.000103,-0.009346,0.002055
2015-11-13 ,-0.002859,0.000083,0.007694,-0.001384
2015-11-20 ,0.003601,0.000102,0.015898,-0.012874
2015-11-27 ,0.006511,-0.000132,-0.00626,0.005507
2015-12-04 ,0.00187,-0.000152,-0.005032,0.0057
2015-12-11 ,0.002246,0.000067,0.000452,-0.006104
2015-12-18 ,-0.012574,0.000116,0.004443,0.001056
2015-12-25 ,0.004117,-0.000121,-0.004989,0.003007
2016-01-01 ,-0.00322,-0.000292,-0.020946,-0.004202
